  ,微博               ,百度               ,知乎                                                 ,头条                ,抖音           ,神马             ,360
11,谁是你心中的Bking天花板   ,爸爸将一年级女儿送错学校     ,既然普通人也能考教资并当老师，那么师范生读个三四年的师范专业还有什么意义呢？             ,高温水位下降 男子在长江走了1公里 ,刘恺威像开会的我     ,福建莆田发生重大刑事案    ,柳智宇下山还俗
12,男子抓155只壁虎后自己被抓了  ,男子凌晨偷出租车拉活赚钱 早上归还,网传博士求职月薪五千被拒，后赴美研发冷核聚变年薪 1.2 亿美元，其本人否定部分传闻，如何看待此事？ ,美限制英伟达对华出口芯片 中方回应 ,桂纶镁确诊新冠      ,印媒造谣解放军＂越线被扣＂  ,一村庄礼金只收30元
13,LPL第三个春夏双冠JDG    ,英女王将在苏格兰任命新首相    ,女子回家遭入室盗窃身中十余刀，装死逃生后遭嫌犯纵火烧屋，遇到类似事件该如何自救？           ,陈冬说已出舱感觉良好        ,中学回应学生被教官强行剪发,美国夏威夷发生6.2级地震  ,婴儿乘车应该购票吗
14,当代年轻人离婚成本有多高     ,北大数学天才柳智宇下山还俗    ,USB Type-C 有什么缺点?                                  ,北大天才柳智宇还俗 主动降薪至2万 ,恒大地产半年报无法按期披露,台湾课本辛亥革命只剩364字 ,多地推迟开学
15,萍乡第一中单           ,重庆家长为灭火耽误儿子入学    ,《西游记》玉皇大帝为什么打不过孙悟空，难道三界之主这么不堪一击吗？                  ,上海大哥托人向巴基斯坦贫民捐面粉  ,陈冬再现我已出舱感觉良好 ,一绑架案牵出医卫系统窝案   ,金莎公开恋情
16,儿子上幼儿园爸爸躲房间偷偷抹泪  ,男子10秒内死里逃生2次     ,如何看待华为 Mate 50 未售先火，目前已有超过 100 万人预约？               ,男子5次未参加核酸检测被立案调查  ,超强台风轩岚诺轨迹    ,女硕士网恋陷杀猪盘被骗58万 ,小伙练轻功水上漂
17,终于有一部优质东方玄幻了     ,河北百日行动抓获2.76万人   ,如何评价专家称「取消公摊面积或给消费者埋下大坑」？公摊面积受争议，未来政策究竟该何去何从？      ,美国芯片三巨头如何发展自救     ,女友锁屏壁纸       ,中方看不下去对印媒说两字   ,举报违建疑遭报复
18,成都疫情传入链条超过20条    ,男子失恋喝1斤白酒吃18袋头孢  ,共享充电宝半小时收 5 元易借难还，「共享刺客」涨价不涨服务，反映了哪些问题？共享经济「退化」了吗？ ,阿根廷北部出现不明原因肺炎致2死  ,浙江省运会女足踢出44比0,法国夺得欧国联冠军      ,暴露于蓝光加速衰老
19,教资报名             ,34岁独子住院一个月花费54万病亡,俄媒称俄罗斯卢克石油公司董事会主席从医院窗户坠亡，事故原因是什么？有哪些信息值得关注？        ,神舟十四号乘组两名航天员成功出舱  ,刘诗诗终于拍古装了    ,男子被开除后连划50辆车泄愤 ,郝春荣被双开
20,多国感谢中国在安理会主席月出色工作,港媒:台军调狙击手进驻金门、马祖 ,13 国参加东方 -2022 军演，西方恶意炒作「中俄威胁」，反映了什么心态？            ,中国人寿原董事长王滨被双开：主动寻租,直击巴基斯坦洪灾现场   ,国足抵达沙特进行首次训练   ,女生切月饼切出电线
